ReadingId,Timestamp,SensorId,SensorType,Value,Unit,Status
RD-20260204-004272,2026-02-04T00:30:00+00:00,SENS-MEL-BNE-F1-OPT-002,OpticalPower,-10.6,dBm,NORMAL
RD-20260204-004699,2026-02-04T00:30:00+00:00,SENS-CORE-SYD-01-TEMP-001,Temperature,36.2,°C,NORMAL
RD-20260204-005126,2026-02-04T00:30:00+00:00,SENS-CORE-MEL-01-TEMP-001,Temperature,35.7,°C,NORMAL
RD-20260204-005553,2026-02-04T00:30:00+00:00,SENS-CORE-BNE-01-TEMP-001,Temperature,37.4,°C,NORMAL
RD-20260204-005980,2026-02-04T00:30:00+00:00,SENS-CORE-SYD-01-CPU-001,CPULoad,36.8,%,NORMAL
RD-20260204-006407,2026-02-04T00:30:00+00:00,SENS-CORE-MEL-01-CPU-001,CPULoad,34.9,%,NORMAL
RD-20260204-006834,2026-02-04T00:30:00+00:00,SENS-AMP-GOULBURN-VIB-001,Vibration,0.11,g,NORMAL
RD-20260204-007261,2026-02-04T00:30:00+00:00,SENS-AMP-ALBURY-VIB-001,Vibration,0.11,g,NORMAL
RD-20260204-000003,2026-02-04T01:00:00+00:00,SENS-SYD-MEL-F1-OPT-001,OpticalPower,-10.2,dBm,NORMAL
RD-20260204-000430,2026-02-04T01:00:00+00:00,SENS-SYD-MEL-F1-OPT-002,OpticalPower,-12.1,dBm,NORMAL
RD-20260204-000857,2026-02-04T01:00:00+00:00,SENS-SYD-MEL-F1-OPT-003,OpticalPower,-11.5,dBm,NORMAL
RD-20260204-001284,2026-02-04T01:00:00+00:00,SENS-SYD-MEL-F1-BER-001,BitErrorRate,3.81e-11,ratio,NORMAL
RD-20260204-001711,2026-02-04T01:00:00+00:00,SENS-SYD-MEL-F1-BER-002,BitErrorRate,2.28e-11,ratio,NORMAL
RD-20260204-002138,2026-02-04T01:00:00+00:00,SENS-SYD-MEL-F2-OPT-001,OpticalPower,-10.1,dBm,NORMAL
RD-20260204-002565,2026-02-04T01:00:00+00:00,SENS-SYD-MEL-F2-OPT-002,OpticalPower,-10.7,dBm,NORMAL
RD-20260204-002992,2026-02-04T01:00:00+00:00,SENS-SYD-BNE-F1-OPT-001,OpticalPower,-10.7,dBm,NORMAL
RD-20260204-003419,2026-02-04T01:00:00+00:00,SENS-SYD-BNE-F1-OPT-002,OpticalPower,-10.9,dBm,NORMAL
RD-20260204-003846,2026-02-04T01:00:00+00:00,SENS-MEL-BNE-F1-OPT-001,OpticalPower,-10.1,dBm,NORMAL
RD-20260204-004273,2026-02-04T01:00:00+00:00,SENS-MEL-BNE-F1-OPT-002,OpticalPower,-11.1,dBm,NORMAL
RD-20260204-004700,2026-02-04T01:00:00+00:00,SENS-CORE-SYD-01-TEMP-001,Temperature,36.7,°C,NORMAL
RD-20260204-005127,2026-02-04T01:00:00+00:00,SENS-CORE-MEL-01-TEMP-001,Temperature,35.5,°C,NORMAL
RD-20260204-005554,2026-02-04T01:00:00+00:00,SENS-CORE-BNE-01-TEMP-001,Temperature,36.5,°C,NORMAL
RD-20260204-005981,2026-02-04T01:00:00+00:00,SENS-CORE-SYD-01-CPU-001,CPULoad,39.0,%,NORMAL
RD-20260204-006408,2026-02-04T01:00:00+00:00,SENS-CORE-MEL-01-CPU-001,CPULoad,41.6,%,NORMAL
RD-20260204-006835,2026-02-04T01:00:00+00:00,SENS-AMP-GOULBURN-VIB-001,Vibration,0.14,g,NORMAL
RD-20260204-007262,2026-02-04T01:00:00+00:00,SENS-AMP-ALBURY-VIB-001,Vibration,0.16,g,NORMAL
RD-20260204-000004,2026-02-04T01:30:00+00:00,SENS-SYD-MEL-F1-OPT-001,OpticalPower,-10.0,dBm,NORMAL
RD-20260204-000431,2026-02-04T01:30:00+00:00,SENS-SYD-MEL-F1-OPT-002,OpticalPower,-11.6,dBm,NORMAL
RD-20260204-000858,2026-02-04T01:30:00+00:00,SENS-SYD-MEL-F1-OPT-003,OpticalPower,-11.7,dBm,NORMAL
RD-20260204-001285,2026-02-04T01:30:00+00:00,SENS-SYD-MEL-F1-BER-001,BitErrorRate,1.02e-10,ratio,NORMAL
RD-20260204-001712,2026-02-04T01:30:00+00:00,SENS-SYD-MEL-F1-BER-002,BitErrorRate,5.81e-11,ratio,NORMAL
RD-20260204-002139,2026-02-04T01:30:00+00:00,SENS-SYD-MEL-F2-OPT-001,OpticalPower,-9.9,dBm,NORMAL
RD-20260204-002566,2026-02-04T01:30:00+00:00,SENS-SYD-MEL-F2-OPT-002,OpticalPower,-10.1,dBm,NORMAL
RD-20260204-002993,2026-02-04T01:30:00+00:00,SENS-SYD-BNE-F1-OPT-001,OpticalPower,-10.8,dBm,NORMAL
RD-20260204-003420,2026-02-04T01:30:00+00:00,SENS-SYD-BNE-F1-OPT-002,OpticalPower,-11.0,dBm,NORMAL
RD-20260204-003847,2026-02-04T01:30:00+00:00,SENS-MEL-BNE-F1-OPT-001,OpticalPower,-10.8,dBm,NORMAL
RD-20260204-004274,2026-02-04T01:30:00+00:00,SENS-MEL-BNE-F1-OPT-002,OpticalPower,-11.1,dBm,NORMAL
RD-20260204-004701,2026-02-04T01:30:00+00:00,SENS-CORE-SYD-01-TEMP-001,Temperature,37.5,°C,NORMAL
RD-20260204-005128,2026-02-04T01:30:00+00:00,SENS-CORE-MEL-01-TEMP-001,Temperature,35.5,°C,NORMAL
RD-20260204-005555,2026-02-04T01:30:00+00:00,SENS-CORE-BNE-01-TEMP-001,Temperature,36.4,°C,NORMAL
RD-20260204-005982,2026-02-04T01:30:00+00:00,SENS-CORE-SYD-01-CPU-001,CPULoad,43.7,%,NORMAL
RD-20260204-006409,2026-02-04T01:30:00+00:00,SENS-CORE-MEL-01-CPU-001,CPULoad,38.3,%,NORMAL
RD-20260204-006836,2026-02-04T01:30:00+00:00,SENS-AMP-GOULBURN-VIB-001,Vibration,0.14,g,NORMAL
RD-20260204-007263,2026-02-04T01:30:00+00:00,SENS-AMP-ALBURY-VIB-001,Vibration,0.12,g,NORMAL
RD-20260204-000005,2026-02-04T02:00:00+00:00,SENS-SYD-MEL-F1-OPT-001,OpticalPower,-10.2,dBm,NORMAL
RD-20260204-000432,2026-02-04T02:00:00+00:00,SENS-SYD-MEL-F1-OPT-002,OpticalPower,-11.7,dBm,NORMAL
RD-20260204-000859,2026-02-04T02:00:00+00:00,SENS-SYD-MEL-F1-OPT-003,OpticalPower,-11.3,dBm,NORMAL
RD-20260204-001286,2026-02-04T02:00:00+00:00,SENS-SYD-MEL-F1-BER-001,BitErrorRate,2.07e-10,ratio,NORMAL
RD-20260204-001713,2026-02-04T02:00:00+00:00,SENS-SYD-MEL-F1-BER-002,BitErrorRate,1.18e-10,ratio,NORMAL
RD-20260204-002140,2026-02-04T02:00:00+00:00,SENS-SYD-MEL-F2-OPT-001,OpticalPower,-9.9,dBm,NORMAL
RD-20260204-002567,2026-02-04T02:00:00+00:00,SENS-SYD-MEL-F2-OPT-002,OpticalPower,-10.5,dBm,NORMAL
RD-20260204-002994,2026-02-04T02:00:00+00:00,SENS-SYD-BNE-F1-OPT-001,OpticalPower,-10.7,dBm,NORMAL
RD-20260204-003421,2026-02-04T02:00:00+00:00,SENS-SYD-BNE-F1-OPT-002,OpticalPower,-11.2,dBm,NORMAL
RD-20260204-003848,2026-02-04T02:00:00+00:00,SENS-MEL-BNE-F1-OPT-001,OpticalPower,-10.6,dBm,NORMAL
RD-20260204-004275,2026-02-04T02:00:00+00:00,SENS-MEL-BNE-F1-OPT-002,OpticalPower,-10.9,dBm,NORMAL
RD-20260204-004702,2026-02-04T02:00:00+00:00,SENS-CORE-SYD-01-TEMP-001,Temperature,37.0,°C,NORMAL
RD-20260204-005129,2026-02-04T02:00:00+00:00,SENS-CORE-MEL-01-TEMP-001,Temperature,35.5,°C,NORMAL
RD-20260204-005556,2026-02-04T02:00:00+00:00,SENS-CORE-BNE-01-TEMP-001,Temperature,37.6,°C,NORMAL
RD-20260204-005983,2026-02-04T02:00:00+00:00,SENS-CORE-SYD-01-CPU-001,CPULoad,41.1,%,NORMAL
RD-20260204-006410,2026-02-04T02:00:00+00:00,SENS-CORE-MEL-01-CPU-001,CPULoad,37.4,%,NORMAL
RD-20260204-006837,2026-02-04T02:00:00+00:00,SENS-AMP-GOULBURN-VIB-001,Vibration,0.15,g,NORMAL
RD-20260204-007264,2026-02-04T02:00:00+00:00,SENS-AMP-ALBURY-VIB-001,Vibration,0.11,g,NORMAL
RD-20260204-000006,2026-02-04T02:30:00+00:00,SENS-SYD-MEL-F1-OPT-001,OpticalPower,-10.6,dBm,NORMAL
RD-20260204-000433,2026-02-04T02:30:00+00:00,SENS-SYD-MEL-F1-OPT-002,OpticalPower,-11.6,dBm,NORMAL
RD-20260204-000860,2026-02-04T02:30:00+00:00,SENS-SYD-MEL-F1-OPT-003,OpticalPower,-11.3,dBm,NORMAL
RD-20260204-001287,2026-02-04T02:30:00+00:00,SENS-SYD-MEL-F1-BER-001,BitErrorRate,3.61e-10,ratio,NORMAL
RD-20260204-001714,2026-02-04T02:30:00+00:00,SENS-SYD-MEL-F1-BER-002,BitErrorRate,2.02e-10,ratio,NORMAL
RD-20260204-002141,2026-02-04T02:30:00+00:00,SENS-SYD-MEL-F2-OPT-001,OpticalPower,-9.9,dBm,NORMAL
RD-20260204-002568,2026-02-04T02:30:00+00:00,SENS-SYD-MEL-F2-OPT-002,OpticalPower,-10.1,dBm,NORMAL
RD-20260204-002995,2026-02-04T02:30:00+00:00,SENS-SYD-BNE-F1-OPT-001,OpticalPower,-10.8,dBm,NORMAL
RD-20260204-003422,2026-02-04T02:30:00+00:00,SENS-SYD-BNE-F1-OPT-002,OpticalPower,-11.3,dBm,NORMAL
RD-20260204-003849,2026-02-04T02:30:00+00:00,SENS-MEL-BNE-F1-OPT-001,OpticalPower,-10.6,dBm,NORMAL
RD-20260204-004276,2026-02-04T02:30:00+00:00,SENS-MEL-BNE-F1-OPT-002,OpticalPower,-11.3,dBm,NORMAL
RD-20260204-004703,2026-02-04T02:30:00+00:00,SENS-CORE-SYD-01-TEMP-001,Temperature,36.9,°C,NORMAL
RD-20260204-005130,2026-02-04T02:30:00+00:00,SENS-CORE-MEL-01-TEMP-001,Temperature,35.6,°C,NORMAL
RD-20260204-005557,2026-02-04T02:30:00+00:00,SENS-CORE-BNE-01-TEMP-001,Temperature,37.6,°C,NORMAL
RD-20260204-005984,2026-02-04T02:30:00+00:00,SENS-CORE-SYD-01-CPU-001,CPULoad,39.9,%,NORMAL
RD-20260204-006411,2026-02-04T02:30:00+00:00,SENS-CORE-MEL-01-CPU-001,CPULoad,42.0,%,NORMAL
RD-20260204-006838,2026-02-04T02:30:00+00:00,SENS-AMP-GOULBURN-VIB-001,Vibration,0.12,g,NORMAL
RD-20260204-007265,2026-02-04T02:30:00+00:00,SENS-AMP-ALBURY-VIB-001,Vibration,0.13,g,NORMAL
RD-20260204-000007,2026-02-04T03:00:00+00:00,SENS-SYD-MEL-F1-OPT-001,OpticalPower,-10.1,dBm,NORMAL
RD-20260204-000434,2026-02-04T03:00:00+00:00,SENS-SYD-MEL-F1-OPT-002,OpticalPower,-11.4,dBm,NORMAL
RD-20260204-000861,2026-02-04T03:00:00+00:00,SENS-SYD-MEL-F1-OPT-003,OpticalPower,-11.4,dBm,NORMAL
RD-20260204-001288,2026-02-04T03:00:00+00:00,SENS-SYD-MEL-F1-BER-001,BitErrorRate,5.67e-10,ratio,NORMAL
RD-20260204-001715,2026-02-04T03:00:00+00:00,SENS-SYD-MEL-F1-BER-002,BitErrorRate,3.17e-10,ratio,NORMAL
RD-20260204-002142,2026-02-04T03:00:00+00:00,SENS-SYD-MEL-F2-OPT-001,OpticalPower,-9.7,dBm,NORMAL
RD-20260204-002569,2026-02-04T03:00:00+00:00,SENS-SYD-MEL-F2-OPT-002,OpticalPower,-10.5,dBm,NORMAL
RD-20260204-002996,2026-02-04T03:00:00+00:00,SENS-SYD-BNE-F1-OPT-001,OpticalPower,-10.7,dBm,NORMAL
RD-20260204-003423,2026-02-04T03:00:00+00:00,SENS-SYD-BNE-F1-OPT-002,OpticalPower,-11.2,dBm,NORMAL
RD-20260204-003850,2026-02-04T03:00:00+00:00,SENS-MEL-BNE-F1-OPT-001,OpticalPower,-10.2,dBm,NORMAL
RD-20260204-004277,2026-02-04T03:00:00+00:00,SENS-MEL-BNE-F1-OPT-002,OpticalPower,-11.2,dBm,NORMAL
RD-20260204-004704,2026-02-04T03:00:00+00:00,SENS-CORE-SYD-01-TEMP-001,Temperature,37.5,°C,NORMAL
RD-20260204-005131,2026-02-04T03:00:00+00:00,SENS-CORE-MEL-01-TEMP-001,Temperature,35.4,°C,NORMAL
RD-20260204-005558,2026-02-04T03:00:00+00:00,SENS-CORE-BNE-01-TEMP-001,Temperature,37.5,°C,NORMAL
RD-20260204-005985,2026-02-04T03:00:00+00:00,SENS-CORE-SYD-01-CPU-001,CPULoad,43.8,%,NORMAL
RD-20260204-006412,2026-02-04T03:00:00+00:00,SENS-CORE-MEL-01-CPU-001,CPULoad,37.2,%,NORMAL
RD-20260204-006839,2026-02-04T03:00:00+00:00,SENS-AMP-GOULBURN-VIB-001,Vibration,0.16,g,NORMAL
RD-20260204-007266,2026-02-04T03:00:00+00:00,SENS-AMP-ALBURY-VIB-001,Vibration,0.15,g,NORMAL
RD-20260204-000008,2026-02-04T03:30:00+00:00,SENS-SYD-MEL-F1-OPT-001,OpticalPower,-10.3,dBm,NORMAL
RD-20260204-000435,2026-02-04T03:30:00+00:00,SENS-SYD-MEL-F1-OPT-002,OpticalPower,-11.9,dBm,NORMAL
RD-20260204-000862,2026-02-04T03:30:00+00:00,SENS-SYD-MEL-F1-OPT-003,OpticalPower,-11.7,dBm,NORMAL
RD-20260204-001289,2026-02-04T03:30:00+00:00,SENS-SYD-MEL-F1-BER-001,BitErrorRate,8.34e-10,ratio,NORMAL
RD-20260204-001716,2026-02-04T03:30:00+00:00,SENS-SYD-MEL-F1-BER-002,BitErrorRate,4.65e-10,ratio,NORMAL
RD-20260204-002143,2026-02-04T03:30:00+00:00,SENS-SYD-MEL-F2-OPT-001,OpticalPower,-9.9,dBm,NORMAL
RD-20260204-002570,2026-02-04T03:30:00+00:00,SENS-SYD-MEL-F2-OPT-002,OpticalPower,-10.5,dBm,NORMAL
RD-20260204-002997,2026-02-04T03:30:00+00:00,SENS-SYD-BNE-F1-OPT-001,OpticalPower,-10.5,dBm,NORMAL
RD-20260204-003424,2026-02-04T03:30:00+00:00,SENS-SYD-BNE-F1-OPT-002,OpticalPower,-11.0,dBm,NORMAL
RD-20260204-003851,2026-02-04T03:30:00+00:00,SENS-MEL-BNE-F1-OPT-001,OpticalPower,-10.3,dBm,NORMAL
RD-20260204-004278,2026-02-04T03:30:00+00:00,SENS-MEL-BNE-F1-OPT-002,OpticalPower,-11.3,dBm,NORMAL
RD-20260204-004705,2026-02-04T03:30:00+00:00,SENS-CORE-SYD-01-TEMP-001,Temperature,37.1,°C,NORMAL
RD-20260204-005132,2026-02-04T03:30:00+00:00,SENS-CORE-MEL-01-TEMP-001,Temperature,35.4,°C,NORMAL
RD-20260204-005559,2026-02-04T03:30:00+00:00,SENS-CORE-BNE-01-TEMP-001,Temperature,36.7,°C,NORMAL
RD-20260204-005986,2026-02-04T03:30:00+00:00,SENS-CORE-SYD-01-CPU-001,CPULoad,43.6,%,NORMAL
RD-20260204-006413,2026-02-04T03:30:00+00:00,SENS-CORE-MEL-01-CPU-001,CPULoad,40.4,%,NORMAL
RD-20260204-006840,2026-02-04T03:30:00+00:00,SENS-AMP-GOULBURN-VIB-001,Vibration,0.16,g,NORMAL
RD-20260204-007267,2026-02-04T03:30:00+00:00,SENS-AMP-ALBURY-VIB-001,Vibration,0.09,g,NORMAL
RD-20260204-000009,2026-02-04T04:00:00+00:00,SENS-SYD-MEL-F1-OPT-001,OpticalPower,-10.3,dBm,NORMAL
RD-20260204-000436,2026-02-04T04:00:00+00:00,SENS-SYD-MEL-F1-OPT-002,OpticalPower,-11.8,dBm,NORMAL
RD-20260204-000863,2026-02-04T04:00:00+00:00,SENS-SYD-MEL-F1-OPT-003,OpticalPower,-11.7,dBm,NORMAL
RD-20260204-001290,2026-02-04T04:00:00+00:00,SENS-SYD-MEL-F1-BER-001,BitErrorRate,1.16e-09,ratio,NORMAL
RD-20260204-001717,2026-02-04T04:00:00+00:00,SENS-SYD-MEL-F1-BER-002,BitErrorRate,6.49e-10,ratio,NORMAL
RD-20260204-002144,2026-02-04T04:00:00+00:00,SENS-SYD-MEL-F2-OPT-001,OpticalPower,-10.2,dBm,NORMAL
RD-20260204-002571,2026-02-04T04:00:00+00:00,SENS-SYD-MEL-F2-OPT-002,OpticalPower,-10.7,dBm,NORMAL
RD-20260204-002998,2026-02-04T04:00:00+00:00,SENS-SYD-BNE-F1-OPT-001,OpticalPower,-10.8,dBm,NORMAL
RD-20260204-003425,2026-02-04T04:00:00+00:00,SENS-SYD-BNE-F1-OPT-002,OpticalPower,-10.9,dBm,NORMAL
RD-20260204-003852,2026-02-04T04:00:00+00:00,SENS-MEL-BNE-F1-OPT-001,OpticalPower,-10.5,dBm,NORMAL
RD-20260204-004279,2026-02-04T04:00:00+00:00,SENS-MEL-BNE-F1-OPT-002,OpticalPower,-11.1,dBm,NORMAL
RD-20260204-004706,2026-02-04T04:00:00+00:00,SENS-CORE-SYD-01-TEMP-001,Temperature,36.5,°C,NORMAL
RD-20260204-005133,2026-02-04T04:00:00+00:00,SENS-CORE-MEL-01-TEMP-001,Temperature,36.3,°C,NORMAL
RD-20260204-005560,2026-02-04T04:00:00+00:00,SENS-CORE-BNE-01-TEMP-001,Temperature,37.6,°C,NORMAL
RD-20260204-005987,2026-02-04T04:00:00+00:00,SENS-CORE-SYD-01-CPU-001,CPULoad,43.1,%,NORMAL
RD-20260204-006414,2026-02-04T04:00:00+00:00,SENS-CORE-MEL-01-CPU-001,CPULoad,34.3,%,NORMAL
RD-20260204-006841,2026-02-04T04:00:00+00:00,SENS-AMP-GOULBURN-VIB-001,Vibration,0.14,g,NORMAL
RD-20260204-007268,2026-02-04T04:00:00+00:00,SENS-AMP-ALBURY-VIB-001,Vibration,0.14,g,NORMAL
RD-20260204-000010,2026-02-04T04:30:00+00:00,SENS-SYD-MEL-F1-OPT-001,OpticalPower,-10.2,dBm,NORMAL
RD-20260204-000437,2026-02-04T04:30:00+00:00,SENS-SYD-MEL-F1-OPT-002,OpticalPower,-11.8,dBm,NORMAL
RD-20260204-000864,2026-02-04T04:30:00+00:00,SENS-SYD-MEL-F1-OPT-003,OpticalPower,-11.9,dBm,NORMAL
RD-20260204-001291,2026-02-04T04:30:00+00:00,SENS-SYD-MEL-F1-BER-001,BitErrorRate,1.56e-09,ratio,NORMAL
RD-20260204-001718,2026-02-04T04:30:00+00:00,SENS-SYD-MEL-F1-BER-002,BitErrorRate,8.69e-10,ratio,NORMAL
RD-20260204-002145,2026-02-04T04:30:00+00:00,SENS-SYD-MEL-F2-OPT-001,OpticalPower,-10.2,dBm,NORMAL
RD-20260204-002572,2026-02-04T04:30:00+00:00,SENS-SYD-MEL-F2-OPT-002,OpticalPower,-10.5,dBm,NORMAL
RD-20260204-002999,2026-02-04T04:30:00+00:00,SENS-SYD-BNE-F1-OPT-001,OpticalPower,-10.9,dBm,NORMAL
RD-20260204-003426,2026-02-04T04:30:00+00:00,SENS-SYD-BNE-F1-OPT-002,OpticalPower,-11.2,dBm,NORMAL
RD-20260204-003853,2026-02-04T04:30:00+00:00,SENS-MEL-BNE-F1-OPT-001,OpticalPower,-10.4,dBm,NORMAL
RD-20260204-004280,2026-02-04T04:30:00+00:00,SENS-MEL-BNE-F1-OPT-002,OpticalPower,-11.6,dBm,NORMAL
RD-20260204-004707,2026-02-04T04:30:00+00:00,SENS-CORE-SYD-01-TEMP-001,Temperature,37.6,°C,NORMAL
RD-20260204-005134,2026-02-04T04:30:00+00:00,SENS-CORE-MEL-01-TEMP-001,Temperature,36.6,°C,NORMAL
RD-20260204-005561,2026-02-04T04:30:00+00:00,SENS-CORE-BNE-01-TEMP-001,Temperature,38.4,°C,NORMAL
RD-20260204-005988,2026-02-04T04:30:00+00:00,SENS-CORE-SYD-01-CPU-001,CPULoad,42.0,%,NORMAL
RD-20260204-006415,2026-02-04T04:30:00+00:00,SENS-CORE-MEL-01-CPU-001,CPULoad,42.3,%,NORMAL
RD-20260204-006842,2026-02-04T04:30:00+00:00,SENS-AMP-GOULBURN-VIB-001,Vibration,0.15,g,NORMAL
RD-20260204-007269,2026-02-04T04:30:00+00:00,SENS-AMP-ALBURY-VIB-001,Vibration,0.10,g,NORMAL
RD-20260204-000011,2026-02-04T05:00:00+00:00,SENS-SYD-MEL-F1-OPT-001,OpticalPower,-10.1,dBm,NORMAL
RD-20260204-000438,2026-02-04T05:00:00+00:00,SENS-SYD-MEL-F1-OPT-002,OpticalPower,-11.4,dBm,NORMAL
RD-20260204-000865,2026-02-04T05:00:00+00:00,SENS-SYD-MEL-F1-OPT-003,OpticalPower,-11.2,dBm,NORMAL
RD-20260204-001292,2026-02-04T05:00:00+00:00,SENS-SYD-MEL-F1-BER-001,BitErrorRate,2.03e-09,ratio,NORMAL
RD-20260204-001719,2026-02-04T05:00:00+00:00,SENS-SYD-MEL-F1-BER-002,BitErrorRate,1.13e-09,ratio,NORMAL
RD-20260204-002146,2026-02-04T05:00:00+00:00,SENS-SYD-MEL-F2-OPT-001,OpticalPower,-9.8,dBm,NORMAL
RD-20260204-002573,2026-02-04T05:00:00+00:00,SENS-SYD-MEL-F2-OPT-002,OpticalPower,-10.4,dBm,NORMAL
RD-20260204-003000,2026-02-04T05:00:00+00:00,SENS-SYD-BNE-F1-OPT-001,OpticalPower,-11.6,dBm,NORMAL
RD-20260204-003427,2026-02-04T05:00:00+00:00,SENS-SYD-BNE-F1-OPT-002,OpticalPower,-11.3,dBm,NORMAL
RD-20260204-003854,2026-02-04T05:00:00+00:00,SENS-MEL-BNE-F1-OPT-001,OpticalPower,-10.0,dBm,NORMAL
RD-20260204-004281,2026-02-04T05:00:00+00:00,SENS-MEL-BNE-F1-OPT-002,OpticalPower,-11.2,dBm,NORMAL
RD-20260204-004708,2026-02-04T05:00:00+00:00,SENS-CORE-SYD-01-TEMP-001,Temperature,38.1,°C,NORMAL
RD-20260204-005135,2026-02-04T05:00:00+00:00,SENS-CORE-MEL-01-TEMP-001,Temperature,36.6,°C,NORMAL
RD-20260204-005562,2026-02-04T05:00:00+00:00,SENS-CORE-BNE-01-TEMP-001,Temperature,38.6,°C,NORMAL
RD-20260204-005989,2026-02-04T05:00:00+00:00,SENS-CORE-SYD-01-CPU-001,CPULoad,41.9,%,NORMAL
RD-20260204-006416,2026-02-04T05:00:00+00:00,SENS-CORE-MEL-01-CPU-001,CPULoad,36.3,%,NORMAL
RD-20260204-006843,2026-02-04T05:00:00+00:00,SENS-AMP-GOULBURN-VIB-001,Vibration,0.10,g,NORMAL
RD-20260204-007270,2026-02-04T05:00:00+00:00,SENS-AMP-ALBURY-VIB-001,Vibration,0.11,g,NORMAL
RD-20260204-000012,2026-02-04T05:30:00+00:00,SENS-SYD-MEL-F1-OPT-001,OpticalPower,-9.9,dBm,NORMAL
RD-20260204-000439,2026-02-04T05:30:00+00:00,SENS-SYD-MEL-F1-OPT-002,OpticalPower,-12.2,dBm,NORMAL
RD-20260204-000866,2026-02-04T05:30:00+00:00,SENS-SYD-MEL-F1-OPT-003,OpticalPower,-11.4,dBm,NORMAL
RD-20260204-001293,2026-02-04T05:30:00+00:00,SENS-SYD-MEL-F1-BER-001,BitErrorRate,2.58e-09,ratio,NORMAL
RD-20260204-001720,2026-02-04T05:30:00+00:00,SENS-SYD-MEL-F1-BER-002,BitErrorRate,1.43e-09,ratio,NORMAL
