AlertId,Timestamp,SourceNodeId,SourceNodeType,AlertType,Severity,Description,OpticalPowerDbm,BitErrorRate,CPUUtilPct,PacketLossPct
ALT-20260206-000476,2026-02-04T08:57:24.840Z,AGG-BNE-SOUTH-01,AggSwitch,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.7,3.062e-12,44.0,0.032
ALT-20260206-002859,2026-02-04T09:01:30.606Z,CORE-BNE-01,CoreRouter,HIGH_CPU,WARNING,CPU utilization 59.0% — routine process spike,-2.8,6.866e-12,59.0,0.043
ALT-20260206-001579,2026-02-04T09:01:48.649Z,GNB-MEL-3012,BaseStation,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.3,6.8e-13,44.3,0.016
ALT-20260206-000970,2026-02-04T09:03:25.635Z,AGG-SYD-SOUTH-01,AggSwitch,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.78% — transient microloop,-3.1,2.13e-12,26.5,0.78
ALT-20260206-000577,2026-02-04T09:04:18.387Z,AGG-BNE-CENTRAL-01,AggSwitch,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.8,7.574e-12,19.2,0.008
ALT-20260206-001251,2026-02-04T09:04:38.404Z,GNB-MEL-3012,BaseStation,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.46% — transient microloop,-2.8,4.802e-12,30.5,0.46
ALT-20260206-001148,2026-02-04T09:06:18.671Z,AGG-BNE-SOUTH-01,AggSwitch,HIGH_CPU,WARNING,CPU utilization 63.8% — routine process spike,-3.3,7.147e-12,63.8,0.027
ALT-20260206-002872,2026-02-04T09:08:59.521Z,GNB-SYD-2043,BaseStation,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.2,2.399e-12,27.4,0.001
ALT-20260206-002745,2026-02-04T09:11:13.046Z,CORE-SYD-01,CoreRouter,HIGH_CPU,WARNING,CPU utilization 55.9% — routine process spike,-3.2,3.91e-12,55.9,0.005
ALT-20260206-000542,2026-02-04T09:11:59.664Z,AGG-BNE-SOUTH-01,AggSwitch,HIGH_CPU,WARNING,CPU utilization 67.4% — routine process spike,-2.7,8.702e-12,67.4,0.046
ALT-20260206-001594,2026-02-04T09:12:05.351Z,AGG-BNE-SOUTH-01,AggSwitch,HIGH_CPU,WARNING,CPU utilization 67.9% — routine process spike,-2.9,3.989e-12,67.9,0.035
ALT-20260206-002424,2026-02-04T09:14:06.905Z,LINK-BNE-AGG-CENTRAL-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.1,9.942e-12,27.3,0.013
ALT-20260206-001277,2026-02-04T09:14:14.992Z,LINK-SYD-MEL-FIBRE-01,TransportLink,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.33% — transient microloop,-2.8,3.62e-12,38.4,0.33
ALT-20260206-002116,2026-02-04T09:14:34.103Z,AGG-SYD-NORTH-01,AggSwitch,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.24% — transient microloop,-3.4,7.246e-12,38.6,0.24
ALT-20260206-002822,2026-02-04T09:15:06.099Z,AGG-BNE-SOUTH-01,AggSwitch,HIGH_CPU,WARNING,CPU utilization 59.7% — routine process spike,-3.5,1.34e-13,59.7,0.047
ALT-20260206-002831,2026-02-04T09:15:18.579Z,LINK-BNE-AGG-SOUTH-01,TransportLink,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-2.9,2.148e-12,27.6,0.005
ALT-20260206-000095,2026-02-04T09:15:49.593Z,LINK-SYD-MEL-FIBRE-01,TransportLink,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.29% — transient microloop,-2.5,5.538e-12,35.9,0.29
ALT-20260206-002083,2026-02-04T09:16:01.834Z,GNB-MEL-3012,BaseStation,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.2,2.464e-12,29.4,0.005
ALT-20260206-000154,2026-02-04T09:18:07.955Z,LINK-BNE-AGG-CENTRAL-01,TransportLink,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.51% — transient microloop,-3.5,2.661e-12,18.8,0.51
ALT-20260206-002465,2026-02-04T09:19:58.011Z,AGG-BNE-CENTRAL-01,AggSwitch,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.1,5.559e-12,41.9,0.028
ALT-20260206-001827,2026-02-04T09:20:30.287Z,GNB-MEL-3011,BaseStation,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.6,1.172e-12,23.7,0.045
ALT-20260206-000212,2026-02-04T09:22:36.515Z,LINK-BNE-AGG-CENTRAL-01,TransportLink,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.34% — transient microloop,-2.8,6.286e-12,38.1,0.34
ALT-20260206-000997,2026-02-04T09:22:41.657Z,LINK-MEL-AGG-EAST-01,TransportLink,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-3.0,7.864e-12,40.3,0.002
ALT-20260206-002728,2026-02-04T09:23:53.099Z,LINK-SYD-AGG-SOUTH-01,TransportLink,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-3.3,3.914e-12,26.1,0.048
ALT-20260206-001599,2026-02-04T09:24:00.513Z,LINK-BNE-AGG-SOUTH-01,TransportLink,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-2.7,3.172e-12,36.3,0.045
ALT-20260206-002230,2026-02-04T09:24:28.391Z,GNB-BNE-4011,BaseStation,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-3.1,2.822e-12,19.9,0.036
ALT-20260206-002606,2026-02-04T09:24:41.883Z,AGG-SYD-NORTH-01,AggSwitch,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.2,9.971e-12,25.4,0.05
ALT-20260206-002095,2026-02-04T09:25:27.359Z,LINK-SYD-AGG-NORTH-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.9,4.161e-12,40.1,0.048
ALT-20260206-002004,2026-02-04T09:26:29.400Z,AGG-MEL-EAST-01,AggSwitch,HIGH_CPU,WARNING,CPU utilization 66.4% — routine process spike,-2.9,9.741e-12,66.4,0.006
ALT-20260206-002198,2026-02-04T09:28:12.063Z,CORE-MEL-01,CoreRouter,HIGH_CPU,WARNING,CPU utilization 72.5% — routine process spike,-3.4,8.851e-12,72.5,0.02
ALT-20260206-000814,2026-02-04T09:30:46.749Z,GNB-BNE-4011,BaseStation,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.8,1.9e-14,16.1,0.02
ALT-20260206-001227,2026-02-04T09:33:57.513Z,LINK-SYD-MEL-FIBRE-01,TransportLink,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-2.7,5.306e-12,16.9,0.042
ALT-20260206-000475,2026-02-04T09:34:56.975Z,LINK-MEL-AGG-WEST-01,TransportLink,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-3.5,9.116e-12,34.4,0.03
ALT-20260206-001605,2026-02-04T09:35:07.666Z,AGG-MEL-EAST-01,AggSwitch,HIGH_CPU,WARNING,CPU utilization 59.4% — routine process spike,-3.1,8.22e-13,59.4,0.012
ALT-20260206-001971,2026-02-04T09:36:31.278Z,GNB-BNE-4012,BaseStation,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.36% — transient microloop,-3.0,4.192e-12,16.0,0.36
ALT-20260206-000964,2026-02-04T09:37:09.569Z,CORE-SYD-01,CoreRouter,HIGH_CPU,WARNING,CPU utilization 73.1% — routine process spike,-2.5,1.991e-12,73.1,0.008
ALT-20260206-000700,2026-02-04T09:43:40.868Z,AGG-MEL-WEST-01,AggSwitch,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.0,2.046e-12,30.7,0.013
ALT-20260206-001664,2026-02-04T09:43:57.485Z,LINK-SYD-BNE-FIBRE-01,TransportLink,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.22% — transient microloop,-2.9,6.847e-12,43.6,0.22
ALT-20260206-002632,2026-02-04T09:44:40.234Z,AGG-BNE-CENTRAL-01,AggSwitch,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.32% — transient microloop,-3.3,2e-12,32.7,0.32
ALT-20260206-002468,2026-02-04T09:45:42.431Z,LINK-SYD-BNE-FIBRE-01,TransportLink,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.19% — transient microloop,-2.6,1.336e-12,41.4,0.19
ALT-20260206-000409,2026-02-04T09:47:26.719Z,LINK-SYD-MEL-FIBRE-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.9,6.938e-12,15.3,0.017
ALT-20260206-001087,2026-02-04T09:47:48.732Z,LINK-BNE-AGG-CENTRAL-01,TransportLink,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-2.6,8.407e-12,22.4,0.024
ALT-20260206-001779,2026-02-04T09:48:12.227Z,GNB-SYD-2042,BaseStation,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.2,4.127e-12,15.9,0.023
ALT-20260206-001893,2026-02-04T09:49:17.408Z,AGG-SYD-SOUTH-01,AggSwitch,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.37% — transient microloop,-2.6,1.502e-12,26.0,0.37
ALT-20260206-001453,2026-02-04T09:49:51.721Z,GNB-BNE-4012,BaseStation,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-3.1,9.261e-12,24.0,0.024
ALT-20260206-000553,2026-02-04T09:50:01.311Z,GNB-BNE-4012,BaseStation,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-3.0,5.092e-12,29.6,0.015
ALT-20260206-000001,2026-02-04T09:51:00.590Z,AGG-BNE-SOUTH-01,AggSwitch,HIGH_CPU,WARNING,CPU utilization 59.5% — routine process spike,-2.8,6.77e-12,59.5,0.004
ALT-20260206-001591,2026-02-04T09:51:55.938Z,GNB-SYD-2043,BaseStation,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-2.7,3.466e-12,27.7,0.031
ALT-20260206-002585,2026-02-04T09:51:59.731Z,GNB-BNE-4012,BaseStation,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-2.7,8.754e-12,39.6,0.011
ALT-20260206-002160,2026-02-04T09:53:41.991Z,AGG-SYD-SOUTH-01,AggSwitch,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.32% — transient microloop,-2.8,7.949e-12,30.1,0.32
ALT-20260206-000983,2026-02-04T09:54:05.487Z,LINK-SYD-AGG-NORTH-01,TransportLink,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-3.4,3.742e-12,42.9,0.005
ALT-20260206-001318,2026-02-04T09:55:20.253Z,GNB-MEL-3012,BaseStation,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-3.4,1.069e-12,32.4,0.024
ALT-20260206-001144,2026-02-04T09:56:32.352Z,LINK-MEL-BNE-FIBRE-01,TransportLink,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-2.8,4.624e-12,25.3,0.02
ALT-20260206-001961,2026-02-04T09:58:30.948Z,CORE-MEL-01,CoreRouter,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.63% — transient microloop,-3.4,2.529e-12,17.8,0.63
ALT-20260206-002420,2026-02-04T09:59:52.720Z,CORE-BNE-01,CoreRouter,HIGH_CPU,WARNING,CPU utilization 60.6% — routine process spike,-2.5,9.32e-13,60.6,0.043
ALT-20260206-002569,2026-02-04T10:00:39.463Z,LINK-MEL-AGG-EAST-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.1,4.674e-12,36.8,0.046
ALT-20260206-002657,2026-02-04T10:00:45.485Z,LINK-SYD-MEL-FIBRE-01,TransportLink,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-3.2,7.081e-12,19.2,0.043
ALT-20260206-001619,2026-02-04T10:02:29.411Z,GNB-BNE-4012,BaseStation,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.6,8.867e-12,44.0,0.047
ALT-20260206-000969,2026-02-04T10:03:11.767Z,AGG-BNE-SOUTH-01,AggSwitch,HIGH_CPU,WARNING,CPU utilization 67.4% — routine process spike,-2.6,3.703e-12,67.4,0.023
ALT-20260206-000129,2026-02-04T10:03:45.608Z,GNB-SYD-2042,BaseStation,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.2,3.755e-12,19.4,0.027
ALT-20260206-002247,2026-02-04T10:04:26.362Z,AGG-BNE-CENTRAL-01,AggSwitch,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.7,9.598e-12,15.7,0.039
ALT-20260206-002885,2026-02-04T10:05:06.807Z,AGG-BNE-SOUTH-01,AggSwitch,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.8,1.25e-13,37.1,0.022
ALT-20260206-001385,2026-02-04T10:05:32.567Z,AGG-SYD-SOUTH-01,AggSwitch,HIGH_CPU,WARNING,CPU utilization 56.7% — routine process spike,-2.8,1.275e-12,56.7,0.01
ALT-20260206-000239,2026-02-04T10:08:05.761Z,LINK-MEL-BNE-FIBRE-01,TransportLink,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-3.2,9.567e-12,29.5,0.04
ALT-20260206-000419,2026-02-04T10:10:40.494Z,GNB-MEL-3011,BaseStation,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-2.9,5.506e-12,17.8,0.005
ALT-20260206-001349,2026-02-04T10:11:27.361Z,LINK-SYD-BNE-FIBRE-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.4,8.087e-12,38.7,0.049
ALT-20260206-000293,2026-02-04T10:14:21.112Z,LINK-SYD-AGG-NORTH-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.9,9.363e-12,41.7,0.012
ALT-20260206-000719,2026-02-04T10:14:23.491Z,LINK-MEL-AGG-WEST-01,TransportLink,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.75% — transient microloop,-2.5,2.233e-12,35.1,0.75
ALT-20260206-001366,2026-02-04T10:15:42.390Z,GNB-SYD-2041,BaseStation,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-3.3,7.771e-12,31.5,0.006
ALT-20260206-000922,2026-02-04T10:16:25.972Z,LINK-SYD-MEL-FIBRE-01,TransportLink,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-2.6,3.037e-12,36.2,0.025
ALT-20260206-000657,2026-02-04T10:18:32.390Z,GNB-MEL-3021,BaseStation,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.64% — transient microloop,-3.0,9.821e-12,29.2,0.64
ALT-20260206-001495,2026-02-04T10:19:20.176Z,AGG-BNE-SOUTH-01,AggSwitch,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.1,8.274e-12,17.5,0.014
ALT-20260206-001614,2026-02-04T10:19:38.367Z,LINK-SYD-AGG-SOUTH-01,TransportLink,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.54% — transient microloop,-2.6,8.9e-14,27.6,0.54
ALT-20260206-002501,2026-02-04T10:20:10.339Z,GNB-SYD-2042,BaseStation,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-3.4,4.939e-12,36.0,0.037
ALT-20260206-001915,2026-02-04T10:21:51.335Z,GNB-SYD-2041,BaseStation,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-2.9,5.69e-12,41.5,0.003
ALT-20260206-000682,2026-02-04T10:22:16.388Z,GNB-SYD-2041,BaseStation,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.11% — transient microloop,-3.4,8.904e-12,15.2,0.11
ALT-20260206-002568,2026-02-04T10:22:30.300Z,LINK-SYD-AGG-SOUTH-01,TransportLink,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.15% — transient microloop,-2.8,3.665e-12,35.1,0.15
ALT-20260206-000223,2026-02-04T10:22:42.831Z,CORE-BNE-01,CoreRouter,HIGH_CPU,WARNING,CPU utilization 70.6% — routine process spike,-3.1,3.835e-12,70.6,0.03
ALT-20260206-000748,2026-02-04T10:25:10.390Z,AGG-SYD-SOUTH-01,AggSwitch,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.21% — transient microloop,-3.0,8.654e-12,41.9,0.21
ALT-20260206-002260,2026-02-04T10:25:57.270Z,LINK-MEL-BNE-FIBRE-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.4,9.237e-12,22.1,0.027
ALT-20260206-001570,2026-02-04T10:28:15.297Z,LINK-SYD-AGG-SOUTH-01,TransportLink,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-2.9,8.716e-12,23.0,0.01
ALT-20260206-000216,2026-02-04T10:28:36.880Z,LINK-MEL-BNE-FIBRE-01,TransportLink,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.3% — transient microloop,-2.6,4.88e-13,34.7,0.3
ALT-20260206-000344,2026-02-04T10:29:04.941Z,GNB-SYD-2043,BaseStation,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.73% — transient microloop,-3.0,6.385e-12,17.5,0.73
ALT-20260206-001028,2026-02-04T10:30:08.796Z,LINK-MEL-BNE-FIBRE-01,TransportLink,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.73% — transient microloop,-3.4,6.32e-12,36.4,0.73
ALT-20260206-001939,2026-02-04T10:30:21.901Z,GNB-MEL-3012,BaseStation,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-3.1,9.729e-12,32.3,0.002
ALT-20260206-002647,2026-02-04T10:30:47.396Z,CORE-SYD-01,CoreRouter,HIGH_CPU,WARNING,CPU utilization 61.0% — routine process spike,-2.9,8.484e-12,61.0,0.003
ALT-20260206-000499,2026-02-04T10:31:01.208Z,LINK-MEL-BNE-FIBRE-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.7,6.235e-12,32.8,0.002
ALT-20260206-001333,2026-02-04T10:31:09.926Z,AGG-MEL-EAST-01,AggSwitch,HIGH_CPU,WARNING,CPU utilization 68.6% — routine process spike,-3.4,6.263e-12,68.6,0.012
ALT-20260206-000493,2026-02-04T10:32:11.538Z,AGG-MEL-WEST-01,AggSwitch,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.1,1.51e-13,24.7,0.042
ALT-20260206-000787,2026-02-04T10:32:38.690Z,GNB-BNE-4011,BaseStation,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.36% — transient microloop,-2.9,9.618e-12,17.4,0.36
ALT-20260206-002265,2026-02-04T10:33:39.886Z,LINK-MEL-BNE-FIBRE-01,TransportLink,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-3.2,5.249e-12,27.0,0.009
ALT-20260206-001643,2026-02-04T10:34:00.769Z,LINK-SYD-BNE-FIBRE-01,TransportLink,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-2.9,8.822e-12,26.5,0.049
ALT-20260206-001542,2026-02-04T10:34:14.269Z,AGG-SYD-NORTH-01,AggSwitch,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.7,3.182e-12,40.2,0.033
ALT-20260206-001574,2026-02-04T10:36:31.298Z,GNB-MEL-3012,BaseStation,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-3.3,8.034e-12,29.6,0.037
ALT-20260206-000138,2026-02-04T10:37:41.383Z,LINK-BNE-AGG-CENTRAL-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.5,3.655e-12,18.9,0.045
ALT-20260206-002001,2026-02-04T10:39:21.431Z,LINK-SYD-AGG-NORTH-01,TransportLink,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-3.4,1.123e-12,44.3,0.036
ALT-20260206-001264,2026-02-04T10:40:23.410Z,GNB-MEL-3011,BaseStation,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-2.8,9.011e-12,19.8,0.01
ALT-20260206-000579,2026-02-04T10:40:55.188Z,LINK-MEL-AGG-WEST-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.3,2.651e-12,22.0,0.033
ALT-20260206-002034,2026-02-04T10:41:15.514Z,GNB-BNE-4011,BaseStation,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.1,1.943e-12,42.7,0.008
ALT-20260206-001838,2026-02-04T10:42:58.027Z,GNB-BNE-4012,BaseStation,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.7,7.252e-12,16.3,0.001
ALT-20260206-000564,2026-02-04T10:45:18.192Z,LINK-SYD-MEL-FIBRE-02,TransportLink,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-3.1,5.48e-12,17.6,0.011
ALT-20260206-001509,2026-02-04T10:45:53.648Z,LINK-SYD-AGG-SOUTH-01,TransportLink,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.14% — transient microloop,-2.8,2.598e-12,22.7,0.14
ALT-20260206-000944,2026-02-04T10:46:47.439Z,LINK-MEL-AGG-EAST-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.7,5.63e-13,41.9,0.016
ALT-20260206-001559,2026-02-04T10:46:57.699Z,GNB-SYD-2041,BaseStation,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-3.5,6.319e-12,35.6,0.002
ALT-20260206-002703,2026-02-04T10:47:55.043Z,GNB-MEL-3011,BaseStation,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.9,5.03e-12,43.0,0.022
ALT-20260206-001891,2026-02-04T10:48:18.217Z,GNB-SYD-2043,BaseStation,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-3.0,4.622e-12,42.7,0.042
ALT-20260206-001981,2026-02-04T10:48:58.916Z,GNB-SYD-2042,BaseStation,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-3.5,6.72e-12,42.9,0.02
ALT-20260206-000215,2026-02-04T10:51:53.311Z,AGG-MEL-WEST-01,AggSwitch,HIGH_CPU,WARNING,CPU utilization 61.3% — routine process spike,-3.2,3.988e-12,61.3,0.024
